Timestep,Alpha,Omega,Theta
0,4.2830048,0.42830048,0.042830048
0.1,3.1934723,0.71506378,0.11107803
0.2,2.8805164,1.0373672,0.22013542
0.3,1.4959371,1.1088853,0.31445585
0.4,0.6909532,1.180563,0.43324448
0.5,-0.55025564,1.1870903,0.57454222
0.6,-1.963193,0.99356351,0.67525014
0.7,-2.8174668,0.6751895,0.71787626
0.8,-3.4004343,0.35700685,0.77681979
0.9,-3.9546874,-0.033446314,0.78438867
1,-4.5082953,-0.48925023,0.85212371
1.1,-4.7838636,-0.98036712,0.77625968
1.2,-4.0294932,-1.4533807,0.68639886
1.3,-3.0046631,-1.8335484,0.54068516
1.4,-1.3237357,-1.9495136,0.34089524
1.5,0.69935191,-1.8336149,0.14949649
1.6,2.4958629,-1.4958302,-0.007277434
1.7,4.536011,-1.1792314,-0.12586711
1.8,4.9561577,-0.60636541,-0.17825823
1.9,4.6840041,-0.024534883,-0.14736573
2,5.0797113,0.48476338,-0.090918121
2.1,4.6061347,0.92767833,0.0051690961
2.2,3.2472692,1.1215375,0.11659364
2.3,2.660696,1.3915614,0.25616086
2.4,1.1508538,1.419502,0.38206931
2.5,-0.017596373,1.416434,0.52336057
2.6,-1.4272752,1.2553954,0.64213431
2.7,-2.4871761,0.94696891,0.70629013
2.8,-3.1820896,0.623872,0.76503168
2.9,-4.0080926,0.26054323,0.83704697
3,-4.6338962,-0.19597226,0.83953426
3.1,-4.2360924,-0.60930294,0.73457119
3.2,-3.6391785,-1.0330309,0.70337471
3.3,-3.2495379,-1.4162611,0.60142811
3.4,-1.9394491,-1.5769716,0.42961767
3.5,-0.20754066,-1.6719693,0.28264708
3.6,1.3524215,-1.6785212,0.1387653
3.7,2.6913328,-1.4148492,-0.0022681267
3.8,4.0087784,-0.98573378,-0.10079624
3.9,5.4391485,-0.5212304,-0.1610395
4,5.0832662,0.035049042,-0.14271908
4.1,5.2881114,0.56353858,-0.085055667
4.2,4.5659545,1.0015558,0.017903953
4.3,3.6655971,1.3731823,0.15531276
4.4,2.5011564,1.7841369,0.35191802
4.5,0.21365195,1.8042229,0.532088
4.6,-1.5268894,1.6003075,0.67701141
4.7,-2.9198194,1.27301,0.78937214
4.8,-3.9038688,0.82853651,0.83868759
4.9,-4.0039289,0.33556059,0.7785263
5,-3.5343206,-0.041081687,0.72056865
5.1,-3.3996052,-0.38333455,0.72244272
5.2,-3.553931,-0.76837057,0.7014715
5.3,-2.7820478,-0.97527836,0.53885423
5.4,-1.2106441,-1.030002,0.39919987
5.5,0.082684031,-1.1348998,0.32956994
5.6,0.70858906,-1.0766516,0.22556687
5.7,1.7552007,-0.88892949,0.13411751
5.8,2.9432722,-0.68284818,0.079146816
5.9,2.7456703,-0.3129864,0.036802857
6,3.7453455,0.049104769,0.043176503
6.1,3.4865781,0.39771395,0.082905139
6.2,3.1701542,0.72908367,0.15880572
6.3,2.0749616,0.87546221,0.23303958
6.4,1.6435029,1.1082494,0.36208175
6.5,0.18619809,1.1701056,0.49321828
6.6,-1.0202914,0.95048015,0.53869758
6.7,-1.4915458,0.79373896,0.61377166
6.8,-2.4345183,0.602571,0.71445813
6.9,-3.2660045,0.26673982,0.73018739
7,-3.2903261,-0.070095809,0.70181741
7.1,-2.8373051,-0.34868249,0.61544777
7.2,-2.1203683,-0.55742802,0.55389561
7.3,-1.4306044,-0.65752968,0.44545609
7.4,-0.44076332,-0.73594716,0.39512644
7.5,0.026121426,-0.72908778,0.31993734
7.6,0.80844671,-0.65313485,0.25677044
7.7,1.4161623,-0.50846713,0.20472408
7.8,1.9348637,-0.31565147,0.17342898
7.9,2.4025219,-0.10062674,0.17722708
8,2.1280844,0.11329357,0.18659818
8.1,2.2435707,0.34817994,0.23875828
8.2,1.6034239,0.53538485,0.31071726
8.3,0.77294056,0.62956495,0.38347379
8.4,0.021185102,0.63752747,0.45078617
8.5,-0.64938522,0.57522232,0.51017042
8.6,-1.2436677,0.45596593,0.56029946
8.7,-1.5012257,0.24671797,0.51231688
8.8,-1.2266424,0.14116171,0.56195824
8.9,-1.7137155,-0.032444584,0.54981735
9,-1.6597038,-0.20052726,0.56556037
9.1,-1.8646843,-0.40090493,0.56469905
9.2,-1.629431,-0.54302777,0.48106966
9.3,-0.80214298,-0.62486273,0.42001913
9.4,-0.24162272,-0.73671479,0.40529082
9.5,-0.11000103,-0.74143566,0.32769285
9.6,0.7674606,-0.70495476,0.27499339
9.7,0.98414214,-0.46557772,0.17344791
9.8,2.5106711,-0.25835494,0.16394634
9.9,2.2552491,-0.028047827,0.15810687
10,2.2712758,0.20005098,0.17263711
10.1,2.1242233,0.40670421,0.20832899
10.2,1.7359361,0.56378024,0.2562461
10.3,1.4661101,0.77365708,0.36236703
10.4,0.21159575,0.84437656,0.47001764
10.5,-0.90943067,0.78246454,0.56442408
10.6,-1.6528722,0.54919285,0.57030335
10.7,-1.8505657,0.38572003,0.63128876
10.8,-2.5402675,0.14659876,0.6703437
10.9,-2.7876133,-0.13356985,0.65055172
11,-2.3924123,-0.36415815,0.5719918
11.1,-1.5953298,-0.49848131,0.48254601
11.2,-0.76890228,-0.55079587,0.40367638
11.3,-0.032678746,-0.58944828,0.37066476
11.4,0.246753,-0.54895403,0.30582187
11.5,1.0125423,-0.49394407,0.28219012
11.6,1.1008295,-0.37150336,0.23797979
11.7,1.5542932,-0.20729957,0.21162904
11.8,1.7798919,-0.022788563,0.20269215
11.9,1.8732217,0.16497064,0.21530205
12,1.91015,0.36981728,0.27033535
12.1,1.2146037,0.50544847,0.33123903
12.2,0.58206043,0.58833293,0.406245
12.3,-0.22853397,0.61993339,0.50583883
12.4,-1.0872765,0.43937711,0.49116748
12.5,-1.029732,0.36399468,0.55840991
12.6,-1.731828,0.19260033,0.58041364
12.7,-1.7617417,0.0025676717,0.53890694
12.8,-1.5846204,-0.15559655,0.58585433
12.9,-2.0774722,-0.37116671,0.57819269
13,-1.867375,-0.56200136,0.52837498
13.1,-1.2932665,-0.6855017,0.45434711
13.2,-0.4715507,-0.64308878,0.33067302
13.3,0.77399061,-0.59164565,0.28485486
13.4,1.3188186,-0.56208066,0.27790848
13.5,1.2197924,-0.47159297,0.24631948
13.6,1.2912965,-0.27800409,0.18485114
13.7,1.9845795,-0.05929786,0.16545781
13.8,1.9501642,0.14457465,0.15520426
13.9,2.2173702,0.35608354,0.17983247
14,2.0823681,0.56045083,0.23392333
14.1,1.506471,0.70066008,0.29963275
14.2,0.93768196,0.85201012,0.40945826
14.3,-0.29333709,0.87665577,0.5230652
14.4,-1.6178525,0.83999152,0.681719
14.5,-2.9409211,0.51650177,0.70951069
14.6,-2.9549645,0.18221082,0.67444035
14.7,-2.8448028,-0.098134025,0.67993395
14.8,-2.9399612,-0.3942619,0.65527785
14.9,-2.2141087,-0.55702499,0.50210057
15,-0.93074567,-0.64408159,0.43226784
15.1,-0.35338226,-0.7335134,0.39522078
15.2,0.012943065,-0.81285304,0.35738146
15.3,0.38004718,-0.75235534,0.27225659
15.4,1.3848172,-0.66950177,0.2254367
15.5,1.8175121,-0.5259071,0.18569418
15.6,2.14653,-0.32034688,0.15687009
15.7,2.4550826,-0.08389398,0.152915
15.8,2.4038934,0.15644711,0.16864766
15.9,2.1915271,0.37319576,0.2033757
16,1.6683054,0.50162537,0.23261137
16.1,1.5980439,0.66942584,0.30326186
16.2,0.90867538,0.82803301,0.41675242
16.3,-0.37415812,0.84139887,0.52645094
16.4,-1.3619902,0.65642055,0.5615725
16.5,-1.5513011,0.43601476,0.54933016
16.6,-1.4824561,0.26797017,0.55118268
16.7,-1.5512521,0.10701485,0.54989229
16.8,-1.515353,-0.04823636,0.52597462
16.9,-1.2321766,-0.16865068,0.47854169
17,-0.93792873,-0.28896643,0.52490299
17.1,-1.1290935,-0.35141331,0.39809737
17.2,0.074469562,-0.35021704,0.37015673
17.3,0.24898869,-0.31878995,0.33137783
17.4,0.56986892,-0.22148034,0.26731488
17.5,1.3952186,-0.094864402,0.27340519
17.6,1.186563,0.02386357,0.27558499
17.7,1.1295006,0.13599368,0.27971534
17.8,1.1467294,0.25310237,0.31003551
17.9,0.89134498,0.37210622,0.38383432
18,0.015632159,0.36885194,0.41575018
18.1,-0.25734654,0.33733439,0.44296545
18.2,-0.49382829,0.26556228,0.44012154
18.3,-0.48001192,0.22293857,0.4713276
18.4,-0.78835654,0.1363768,0.46863104
18.5,-0.6724373,0.054080239,0.42231308
18.6,-0.25338776,0.029668069,0.43251576
