Timestep,Alpha,Omega,Theta
0,1.0053882,0.10053882,0.010053882
0.1,0.037327524,0.10427157,0.020481039
0.2,0.034914291,0.107763,0.031257339
0.3,0.032498872,0.11101289,0.042358628
0.4,0.030085049,0.11402139,0.053760767
0.5,0.027676522,0.11678904,0.065439672
0.6,0.0252769,0.11931673,0.077371345
0.7,0.022889704,0.12160571,0.089531916
0.8,0.020518359,0.12365754,0.10189767
0.9,0.018166191,0.12547416,0.11444509
1,0.015836427,0.1270578,0.12715087
1.1,0.013532189,0.12841102,0.13999197
1.2,0.011256491,0.12953667,0.15294564
1.3,0.0090122403,0.13043789,0.16598942
1.4,0.0068022329,0.13111812,0.17910124
1.5,0.0046291509,0.13158103,0.19225934
1.6,0.0024955622,0.13183059,0.2054424
1.7,0.0004039186,0.13187098,0.2186295
1.8,-0.0016434459,0.13170664,0.23180016
1.9,-0.0036443157,0.13134221,0.24493438
2,-0.0055965947,0.13078255,0.25801264
2.1,-0.0074983069,0.13003271,0.27101591
2.2,-0.009347597,0.12909796,0.2839257
2.3,-0.011142731,0.12798368,0.29672407
2.4,-0.012882094,0.12669547,0.30939362
2.5,-0.014564196,0.12523905,0.32191752
2.6,-0.016187662,0.12362029,0.33427955
2.7,-0.017751243,0.12184516,0.34646407
2.8,-0.019253805,0.11991978,0.35845605
2.9,-0.020694334,0.11785035,0.37024108
3,-0.022071936,0.11564316,0.3818054
3.1,-0.023385829,0.11330457,0.39313585
3.2,-0.024635351,0.11084104,0.40421996
3.3,-0.025819951,0.10825904,0.41504586
3.4,-0.02693919,0.10556512,0.42560237
3.5,-0.027992742,0.10276585,0.43587896
3.6,-0.028980386,0.09986781,0.44586574
3.7,-0.029902011,0.096877609,0.4555535
3.8,-0.030757609,0.093801848,0.46493369
3.9,-0.031547274,0.090647121,0.4739984
4,-0.0322712,0.087420001,0.4827404
4.1,-0.032929679,0.084127033,0.4911531
4.2,-0.033523098,0.080774723,0.49923057
4.3,-0.034051937,0.07736953,0.50696753
4.4,-0.034516763,0.073917853,0.51435931
4.5,-0.034918232,0.07042603,0.52140192
4.6,-0.035257083,0.066900322,0.52809195
4.7,-0.035534138,0.063346908,0.53442664
4.8,-0.035750293,0.059771879,0.54040383
4.9,-0.035906522,0.056181226,0.54602195
5,-0.036003871,0.052580839,0.55128003
5.1,-0.036043452,0.048976494,0.55617768
5.2,-0.036026445,0.04537385,0.56071507
5.3,-0.035954091,0.041778441,0.56489291
5.4,-0.03582769,0.038195672,0.56871248
5.5,-0.035648598,0.034630812,0.57217556
5.6,-0.035418222,0.03108899,0.57528446
5.7,-0.035138021,0.027575187,0.57804198
5.8,-0.034809497,0.024094238,0.5804514
5.9,-0.034434196,0.020650818,0.58251648
6,-0.034013702,0.017249448,0.58424143
6.1,-0.033549637,0.013894484,0.58563088
6.2,-0.033043652,0.010590119,0.58668989
6.3,-0.032497431,0.007340376,0.58742393
6.4,-0.031912682,0.0041491078,0.58783884
6.5,-0.031291136,0.0010199942,0.58794084
6.6,-0.030634545,-0.0020434602,0.58773649
6.7,-0.029944676,-0.0050379278,0.5872327
6.8,-0.029223311,-0.007960259,0.58643667
6.9,-0.028472242,-0.010807483,0.58535592
7,-0.027693267,-0.01357681,0.58399824
7.1,-0.026888191,-0.016265629,0.58237168
7.2,-0.026058819,-0.018871511,0.58048453
7.3,-0.025206955,-0.021392206,0.57834531
7.4,-0.024334399,-0.023825646,0.57596274
7.5,-0.023442945,-0.026169941,0.57334575
7.6,-0.022534377,-0.028423378,0.57050341
7.7,-0.021610468,-0.030584425,0.56744497
7.8,-0.020672976,-0.032651723,0.5641798
7.9,-0.019723643,-0.034624087,0.56071739
8,-0.01876419,-0.036500506,0.55706734
8.1,-0.017796318,-0.038280138,0.55323932
8.2,-0.016821706,-0.039962308,0.54924309
8.3,-0.015842005,-0.041546509,0.54508844
8.4,-0.014858839,-0.043032393,0.5407852
8.5,-0.013873804,-0.044419773,0.53634322
8.6,-0.012888462,-0.04570862,0.53177236
8.7,-0.011904345,-0.046899054,0.52708246
8.8,-0.010922947,-0.047991349,0.52228332
8.9,-0.0099457283,-0.048985922,0.51738473
9,-0.0089741101,-0.049883333,0.5123964
9.1,-0.0080094747,-0.05068428,0.50732797
9.2,-0.0070531641,-0.051389597,0.50218901
9.3,-0.0061064784,-0.052000244,0.49698898
9.4,-0.0051706749,-0.052517312,0.49173725
9.5,-0.0042469674,-0.052942009,0.48644305
9.6,-0.0033365244,-0.053275661,0.48111549
9.7,-0.0024404694,-0.053519708,0.47576352
9.8,-0.0015598789,-0.053675696,0.47039595
9.9,-0.00069578296,-0.053745274,0.46502142
10,0.00015083637,-0.053730191,0.4596484
10.1,0.00097904502,-0.053632286,0.45428517
10.2,0.0017879574,-0.05345349,0.44893982
10.3,0.0025767369,-0.053195817,0.44362024
10.4,0.0033445959,-0.052861357,0.4383341
10.5,0.0040907961,-0.052452277,0.43308888
10.6,0.0048146485,-0.051970813,0.4278918
10.7,0.0055155134,-0.051419261,0.42274987
10.8,0.0061928006,-0.050799981,0.41766987
10.9,0.0068459687,-0.050115384,0.41265833
11,0.0074745256,-0.049367932,0.40772154
11.1,0.0080780276,-0.048560129,0.40286553
11.2,0.0086560792,-0.047694521,0.39809607
11.3,0.0092083329,-0.046773688,0.39341871
11.4,0.0097344886,-0.045800239,0.38883868
11.5,0.010234293,-0.04477681,0.384361
11.6,0.010707539,-0.043706056,0.3799904
11.7,0.011154064,-0.042590649,0.37573133
11.8,0.011573752,-0.041433274,0.371588
11.9,0.01196653,-0.040236621,0.36756434
12,0.012332368,-0.039003384,0.363664
12.1,0.01267128,-0.037736256,0.35989038
12.2,0.012983318,-0.036437925,0.35624658
12.3,0.013268577,-0.035111067,0.35273548
12.4,0.013527192,-0.033758348,0.34935964
12.5,0.013759333,-0.032382414,0.3461214
12.6,0.013965211,-0.030985893,0.34302281
12.7,0.014145071,-0.029571386,0.34006567
12.8,0.014299194,-0.028141467,0.33725153
12.9,0.014427893,-0.026698677,0.33458166
13,0.014531515,-0.025245526,0.33205711
13.1,0.014610439,-0.023784482,0.32967866
13.2,0.014665073,-0.022317975,0.32744686
13.3,0.014695853,-0.020848389,0.32536202
13.4,0.014703245,-0.019378065,0.32342422
13.5,0.014687738,-0.017909291,0.32163329
13.6,0.014649849,-0.016444306,0.31998886
13.7,0.014590117,-0.014985294,0.31849033
13.8,0.014509103,-0.013534384,0.31713689
13.9,0.014407389,-0.012093645,0.31592752
14,0.014285576,-0.010665088,0.31486101
14.1,0.014144286,-0.0092506591,0.31393595
14.2,0.013984154,-0.0078522437,0.31315072
14.3,0.013805832,-0.0064716605,0.31250356
14.4,0.013609988,-0.0051106617,0.31199249
14.5,0.013397299,-0.0037709318,0.3116154
14.6,0.013168457,-0.0024540861,0.31136999
14.7,0.012924162,-0.0011616699,0.31125382
14.8,0.012665123,0.0001048424,0.31126431
14.9,0.012392059,0.0013440483,0.31139871
15,0.012105692,0.0025546175,0.31165417
15.1,0.01180675,0.0037352925,0.3120277
15.2,0.011495967,0.0048848892,0.31251619
15.3,0.011174076,0.0060022969,0.31311642
15.4,0.010841815,0.0070864784,0.31382507
15.5,0.010499919,0.0081364703,0.31463872
15.6,0.010149124,0.0091513827,0.31555386
15.7,0.0097901644,0.010130399,0.3165669
15.8,0.0094237695,0.011072776,0.31767417
15.9,0.009050666,0.011977843,0.31887196
16,0.008671575,0.012845,0.32015646
