Timestep,Alpha,Omega,Theta
0,1.0053882,0.099823312,0.0099823312
0.1,0.037510708,0.15498964,0.019633571
0.2,0.036912285,0.16362551,0.036039745
0.3,0.0182214,0.16534921,0.051617862
0.4,0.017855789,0.16868734,0.068363282
0.5,0.012508074,0.17282974,0.086122392
0.6,0.0073599446,0.17470434,0.10351591
0.7,0.005573549,0.17516638,0.12043076
0.8,0.0041282713,0.17665729,0.13855089
0.9,-0.0015583306,0.17710078,0.15645822
1,-0.0038147101,0.17870107,0.17698857
1.1,-0.013304424,0.1773536,0.1952571
1.2,-0.010716405,0.17587308,0.21441319
1.3,-0.015836364,0.17385877,0.23307199
1.4,-0.017560695,0.17052146,0.25007252
1.5,-0.016240482,0.16702858,0.26638934
1.6,-0.017156467,0.16339372,0.28171247
1.7,-0.017175864,0.16067206,0.30024896
1.8,-0.027813077,0.15582945,0.31427596
1.9,-0.019200454,0.15016712,0.32451242
2,-0.011711666,0.1468652,0.33790277
2.1,-0.021398869,0.14342281,0.35133388
2.2,-0.02362642,0.13839177,0.3613264
2.3,-0.016958091,0.13441232,0.37510007
2.4,-0.028226815,0.12972398,0.38636986
2.5,-0.024015899,0.1245654,0.39907388
2.6,-0.02949068,0.1192336,0.41083246
2.7,-0.029107926,0.11331864,0.42095922
2.8,-0.026821115,0.10777258,0.43185771
2.9,-0.030430486,0.10221627,0.44427674
3,-0.036084987,0.095664614,0.45500519
3.1,-0.033766946,0.088658895,0.46249023
3.2,-0.02720677,0.082746987,0.47435939
3.3,-0.039658009,0.076166608,0.48414334
3.4,-0.036253562,0.06860709,0.49059844
3.5,-0.029334997,0.062136937,0.49877005
3.6,-0.034802874,0.055821882,0.50753704
3.7,-0.037678703,0.048616839,0.51285431
3.8,-0.03029713,0.041851228,0.51672808
3.9,-0.027501369,0.036136887,0.52338996
4,-0.035309666,0.029853275,0.52350635
4.1,-0.019671431,0.024386409,0.52598499
4.2,-0.025790228,0.019851551,0.52706025
4.3,-0.022647681,0.01503073,0.52898693
4.4,-0.025053488,0.010291164,0.53409717
4.5,-0.033567189,0.0044485742,0.53476705
4.6,-0.023074235,-0.0011911221,0.5340581
4.7,-0.019708268,-0.0054525739,0.53303389
4.8,-0.018844132,-0.0092924371,0.53095551
4.9,-0.016037279,-0.012760645,0.52638365
5,-0.0093758394,-0.015286309,0.52290118
5.1,-0.011485951,-0.017372368,0.52293154
5.2,-0.019973681,-0.020520286,0.52328809
5.3,-0.020865748,-0.024582316,0.51830474
5.4,-0.0073038831,-0.027379785,0.51381883
5.5,-0.0078293688,-0.028904691,0.51409706
5.6,-0.019356301,-0.031621192,0.51132266
5.7,-0.011634106,-0.034709863,0.50773356
5.8,-0.0091512798,-0.036798626,0.50684281
5.9,-0.015530633,-0.03924092,0.49929988
6,0.0015973058,-0.040634255,0.49642114
6.1,-0.0091782194,-0.041392798,0.49224072
6.2,-0.0054259674,-0.042855394,0.48894873
6.3,-0.0070706566,-0.044090324,0.48253485
6.4,0.0014109123,-0.044665511,0.4800137
6.5,-0.0075637087,-0.045287003,0.47639191
6.6,-0.0043768769,-0.046464342,0.46949062
6.7,0.0045660252,-0.046443007,0.46470945
6.8,0.00021296348,-0.045975285,0.46152569
6.9,-0.0031395691,-0.046266026,0.45656331
7,0.0018965482,-0.046385861,0.45133206
7.1,0.0033543246,-0.045852507,0.44519611
7.2,0.0064851665,-0.04486833,0.44048337
7.3,0.0038034211,-0.043832766,0.43449598
7.4,0.0078026409,-0.042678279,0.43120944
7.5,0.0018304031,-0.041716178,0.42684927
7.6,0.0050901856,-0.041025116,0.42285468
7.7,0.0048390761,-0.040032861,0.41871438
7.8,0.0058400038,-0.038966039,0.41479337
7.9,0.0059314619,-0.03779605,0.41237543
8,0.0027025854,-0.036932984,0.40842956
8.1,0.0069938681,-0.035970013,0.40640175
8.2,0.0027091119,-0.035005848,0.40413769
8.3,0.0036333259,-0.034373948,0.40119953
8.4,0.005717275,-0.033440016,0.39797163
8.5,0.0069263522,-0.032176793,0.39476354
8.6,0.0073906681,-0.030746611,0.39176069
8.7,0.0073782859,-0.029264939,0.38673618
8.8,0.013035587,-0.027227484,0.38499926
8.9,0.0054260235,-0.025382579,0.38209209
9,0.0087034118,-0.023972592,0.38060695
9.1,0.0055327226,-0.022552325,0.3792816
9.2,0.0053663682,-0.021461648,0.37632787
9.3,0.0097530394,-0.019950463,0.37432177
9.4,0.0078066537,-0.018198996,0.37437775
9.5,0.0028560495,-0.017133475,0.37246754
9.6,0.0078882353,-0.016060407,0.37158052
9.7,0.0055827913,-0.0147107,0.36730721
9.8,0.014402895,-0.012714112,0.36723801
9.9,0.0043343039,-0.010841684,0.36576473
10,0.0079502768,-0.009613315,0.36430667
10.1,0.0081581008,-0.008003023,0.36305379
10.2,0.0078777512,-0.0063999508,0.36181262
10.3,0.008060346,-0.0048074931,0.36267323
10.4,0.0028905596,-0.0037134212,0.36302764
10.5,0.00406064,-0.0030186659,0.36312676
10.6,0.0046693591,-0.0021458286,0.3617934
10.7,0.0083327458,-0.00084606368,0.36214439
10.8,0.0042464082,0.00041114039,0.3625733
10.9,0.0040029272,0.0012357211,0.36253816
11,0.0051343352,0.0021490387,0.36193426
11.1,0.0066081801,0.0033227411,0.36139048
11.2,0.0065632772,0.0046392386,0.36120619
11.3,0.0057425764,0.0058695868,0.36248032
11.4,0.0020508341,0.0066483971,0.36277451
11.5,0.0043676608,0.0072905218,0.36446013
11.6,0.00077015766,0.0078038779,0.36490749
11.7,0.0036816074,0.0082488737,0.36545311
11.8,0.0033694829,0.0089535657,0.36595202
11.9,0.0034125824,0.0096314435,0.36666351
12,0.0027990952,0.010252916,0.36860278
12.1,-0.00044784481,0.010488109,0.37005611
12.2,0.00049524819,0.010493182,0.37165923
12.3,-0.00011203811,0.010532038,0.3737459
12.4,-0.0015984123,0.010360317,0.37348511
12.5,0.0040848552,0.010609425,0.37526013
12.6,-0.0010777482,0.010909942,0.37636479
12.7,0.00036110303,0.010837917,0.37666441
12.8,0.002251744,0.011099849,0.37904443
12.9,-0.0031160984,0.011013575,0.380675
13,-0.0015731641,0.010544863,0.38188146
13.1,-0.00074375876,0.010313194,0.38281545
13.2,-0.00023512984,0.010214701,0.38242568
13.3,0.0030082969,0.010492227,0.38391214
13.4,-0.001728688,0.010620863,0.38680222
13.5,-0.005556859,0.0098926375,0.38841121
13.6,-0.0027376186,0.0090628581,0.38790707
13.7,0.0024163552,0.009030559,0.38806248
13.8,0.0008104367,0.0093525669,0.38739418
13.9,0.0028962942,0.0097229267,0.38761621
14,0.0007260303,0.010085,0.38848242
14.1,-0.00095673662,0.010061827,0.3892879
14.2,-0.00093834189,0.0098726728,0.39113467
14.3,-0.0037318982,0.009405912,0.39273874
14.4,-0.0034057742,0.008692763,0.39511545
14.5,-0.0056408804,0.007788118,0.39556798
14.6,-0.0010963254,0.0071143929,0.39556651
14.7,-7.6075271e-06,0.0070040943,0.39650887
14.8,-0.0024249316,0.0067608911,0.39740527
14.9,-0.0024597588,0.0062721777,0.39655449
15,0.0018679081,0.0062130507,0.39709217
15.1,-0.0015520957,0.0062447362,0.39853516
15.2,-0.0039577499,0.005694005,0.40021319
15.3,-0.0047930179,0.0048190066,0.40046003
15.4,-0.0014006878,0.0041998884,0.40165775
15.5,-0.0038777949,0.0036721474,0.40259975
15.6,-0.0034185543,0.0029426436,0.40310228
15.7,-0.0024483013,0.002356079,0.40364787
15.8,-0.002643205,0.0018469982,0.40386263
15.9,-0.0018880005,0.0013939443,0.40388001
16,-0.0014215181,0.0010630088,0.40301693
16.1,0.00082535792,0.001003436,0.40328338
16.2,-0.0019323104,0.00089274058,0.4043237
16.3,-0.003960503,0.00030351728,0.40495293
16.4,-0.0030793326,-0.00040036523,0.40440692
16.5,-0.00017620227,-0.00072583116,0.40343591
16.6,0.00099468817,-0.00064397123,0.40295235
16.7,-0.00010203827,-0.00055472686,0.40268662
16.8,-0.00058634314,-0.00062355751,0.40230755
16.9,-0.00025760178,-0.00070792948,0.40171424
17,0.00034778142,-0.00069892992,0.40306683
17.1,-0.0045426906,-0.0011183832,0.40137827
17.2,0.0030224687,-0.0012703077,0.40145538
17.3,-0.0012309917,-0.0010912204,0.40115058
17.4,-0.00026908468,-0.0012411712,0.39992282
17.5,0.0021393321,-0.0010541534,0.40032992
17.6,-0.0018524243,-0.0010255069,0.4001994
17.7,-0.00054428827,-0.0012651327,0.39979375
17.8,0.00017800348,-0.0013017548,0.3998232
17.9,-0.0008737923,-0.0013713696,0.40069494
18,-0.0030377913,-0.0017625067,0.4004169
18.1,-0.00023695611,-0.0020899179,0.40010521
18.2,-0.00010937746,-0.0021245205,0.39933518
18.3,0.0011110385,-0.00202436,0.39930348
18.4,-0.00065851368,-0.0019791145,0.39880564
18.5,0.00053733442,-0.0019911825,0.39769898
18.6,0.0021733405,-0.0017201298,0.39766239
18.7,-0.00039097759,-0.0015419394,0.39770034
18.8,-0.00057794049,-0.0016388626,0.39866905
18.9,-0.0029689183,-0.0019935255,0.39814797
19,0.00068762197,-0.002221611,0.39808676
19.1,-0.00040841218,-0.002193664,0.39705312
19.2,0.0020888595,-0.0020256068,0.39670745
19.3,0.00049134713,-0.0017675917,0.3958134
19.4,0.0019490916,-0.0015235709,0.39614784
19.5,-0.0010540978,-0.0014341103,0.39625794
19.6,-0.00053470888,-0.001592963,0.39569735
19.7,0.0011633306,-0.0015301054,0.39599106
19.8,-0.00093525536,-0.0015073277,0.39623721
19.9,-0.00086185177,-0.0016870381,0.39651711
20,-0.0009891086,-0.0018721196,0.39627463
20.1,0.00030192933,-0.0019408245,0.39611534
20.2,0.00012636613,-0.0018980113,0.39626612
20.3,-0.00064333667,-0.0019496878,0.39544596
20.4,0.0018168994,-0.001832301,0.39458471
20.5,0.0020523644,-0.0014453893,0.39409389
20.6,0.0012412335,-0.0011160527,0.39380081
20.7,0.00081302756,-0.00091063976,0.39354014
20.8,0.00077658987,-0.00075169139,0.39366381
20.9,-0.00016600011,-0.00069064317,0.39366131
21,0.00013682229,-0.00069355802,0.39351744
21.1,0.00049878153,-0.00062999952,0.39347211
21.2,0.00026922866,-0.000553204,0.393361
21.3,0.00044459297,-0.00048182525,0.39333526
21.4,0.00024354542,-0.00041301383,0.39291798
21.5,0.0012498493,-0.00026367726,0.39290548
21.6,0.00028029031,-0.00011067622,0.39252596
21.7,0.0012218467,3.9534371e-05,0.39278922
21.8,-0.00036294239,0.00012541121,0.39265711
21.9,0.00060711057,0.00014983085,0.39227973
22,0.0012562009,0.0003361571,0.39269525
22.1,-0.00071314452,0.00039044576,0.3918515
22.2,0.0024442622,0.00056356878,0.39229827
22.3,-0.00072421275,0.00073555199,0.39284124
22.4,-0.0010419016,0.00055894716,0.39281753
22.5,0.00032185647,0.00048695561,0.39314953
22.6,-0.00058507875,0.00046062543,0.39244585
22.7,0.0020130911,0.0006034312,0.3923836
22.8,0.00048376159,0.0008530894,0.3916632
22.9,0.0021788292,0.0011193393,0.39147899
23,0.00092191161,0.0014293939,0.39166708
23.1,-1.248452e-06,0.0015214375,0.39112066
23.2,0.0018495082,0.0017062681,0.39148324
23.3,-0.00038952624,0.0018522571,0.39197882
23.4,-0.00078765354,0.001734534,0.39180592
23.5,0.00084468991,0.0017402193,0.39097243
23.6,0.0025640034,0.0020810684,0.39070195
23.7,0.0012567942,0.0024631332,0.3911687
23.8,-0.00058653771,0.0025301244,0.39067648
23.9,0.0017944642,0.0026509403,0.39145404
24,-0.0013767691,0.0026927135,0.39226952
24.1,-0.001597932,0.0023952553,0.39253908
24.2,-0.00033071829,0.0022024185,0.39327188
24.3,-0.0015598128,0.0020133513,0.39283511
24.4,0.0013168824,0.0019890525,0.39238209
24.5,0.0014283788,0.0022635694,0.39264115
24.6,-0.00032196382,0.002374203,0.39297737
24.7,-0.00056098708,0.0022859039,0.39298475
24.8,0.00022694439,0.0022524951,0.39290418
24.9,0.000450797,0.0023202505,0.39252649
25,0.0012243281,0.0024877574,0.3926942
25.1,-0.00011145264,0.002599016,0.39227304
25.2,0.0013693339,0.0027248061,0.3925819
25.3,-0.00043203873,0.0028185201,0.39267026
25.4,8.3038264e-05,0.0027836291,0.39313488
25.5,-0.00089438815,0.002702467,0.39255772
25.6,0.0016981788,0.0027828583,0.3930242
25.7,-0.00088125347,0.002864538,0.39325675
25.8,-0.00035720128,0.0027407064,0.39378656
25.9,-0.0011557007,0.002589421,0.39412864
26,-0.00076041054,0.002397821,0.39450305
26.1,-0.00089853501,0.002231945,0.3952655
26.2,-0.001952704,0.0019468203,0.39517637
26.3,0.0001043365,0.0017619937,0.39525905
26.4,-0.00032223725,0.0017402121,0.39592363
26.5,-0.0018262966,0.001525368,0.39651083
26.6,-0.0017359472,0.0011691517,0.39642296
26.7,-0.0001032291,0.00098523924,0.39609484
26.8,0.00052446774,0.0010273621,0.39604544
26.9,-0.00013792398,0.0010660112,0.39594982
27,-1.3020315e-05,0.0010509159,0.39590239
27.1,-0.00012236409,0.0010373779,0.39603411
27.2,-0.0005746936,0.00096767232,0.39608383
27.3,-0.00038722701,0.00087148383,0.39620658
27.4,-0.00058349651,0.00077441328,0.39623868
27.5,-0.000372473,0.0006788218,0.39661245
27.6,-0.0012537983,0.0005161975,0.39680774
27.7,-0.00085829548,0.00030499691,0.39730552
27.8,-0.0016656358,5.2607788e-05,0.39683189
27.9,0.00073976981,-3.996983e-05,0.39687226
28,-0.00050195007,-1.6192141e-05,0.39727188
28.1,-0.001429853,-0.00020937127,0.39822047
28.2,-0.0029011667,-0.00064246685,0.39839339
28.3,-0.0010694496,-0.0010395189,0.39908
28.4,-0.002414603,-0.0013879223,0.3992552
28.5,-0.0012178324,-0.0017511635,0.39981376
28.6,-0.0022299927,-0.0020959407,0.39965981
28.7,-0.0004981497,-0.0023687222,0.39832816
28.8,0.0025388719,-0.0021646477,0.39812573
28.9,-0.00014108172,-0.0019248773,0.3977164
29,0.000418869,-0.0018971114,0.39833674
29.1,-0.0021537015,-0.0020706037,0.398502
29.2,-0.0010902505,-0.0023949882,0.39825549
29.3,-6.4824243e-05,-0.0025105028,0.39859612
29.4,-0.0015307704,-0.0026700609,0.39828199
