Timestep,Alpha,Omega,Theta
0,0.99680458,0.099680458,0.0099680458
0.1,0.034690787,0.09556612,0.018766316
0.2,0.040971175,0.10424088,0.030089317
0.3,0.029013272,0.099296704,0.037754368
0.4,0.039161801,0.10344413,0.048186706
0.5,0.03251112,0.11208867,0.061907954
0.6,0.020995588,0.1144519,0.073498779
0.7,0.023437705,0.11257645,0.082046921
0.8,0.031379627,0.11935933,0.096639307
0.9,0.013868011,0.122423,0.11023929
1,0.016079144,0.14223857,0.14085875
1.1,-0.032464967,0.14269319,0.15879328
1.2,-0.0042539332,0.15246571,0.18538839
1.3,-0.030508632,0.15777585,0.21133241
1.4,-0.031151952,0.15324873,0.22476608
1.5,-0.0034057073,0.14929502,0.23439629
1.6,0.0039644581,0.14251025,0.23737266
1.7,0.021526705,0.15771536,0.27488503
1.8,-0.064585712,0.14092502,0.27097011
1.9,0.025190035,0.1170818,0.2319891
2,0.11486978,0.12223562,0.23166396
2.1,0.027730113,0.12054586,0.23526059
2.2,0.016196741,0.10516011,0.21258835
2.3,0.085899036,0.11412078,0.22474996
2.4,0.00011224767,0.10698533,0.22137381
2.5,0.037983379,0.11068507,0.23223828
2.6,0.0021409129,0.10946826,0.24018282
2.7,0.007589288,0.10502068,0.23926136
2.8,0.02930326,0.10740892,0.24876726
2.9,0.0031464775,0.1141764,0.27513014
3,-0.042753363,0.11291348,0.29368048
3.1,-0.024474284,0.10454384,0.2887316
3.2,0.034483969,0.11825442,0.32889937
3.3,-0.087969299,0.11612858,0.35906644
3.4,-0.062573608,0.10714612,0.3613551
3.5,0.0025943727,0.11244998,0.38961264
3.6,-0.069820217,0.11500446,0.43415482
3.7,-0.11093924,0.10428472,0.44599588
3.8,-0.033331497,0.098870251,0.44698171
3.9,-0.0087925163,0.10595606,0.4935865
4,-0.11360025,0.084848156,0.45666171
4.1,0.080490296,0.092118641,0.46168337
4.2,-0.019597729,0.087121981,0.45517519
4.3,0.008463391,0.088409065,0.4663188
4.4,-0.039941485,0.09477015,0.53041511
4.5,-0.1730137,0.077400831,0.53777489
4.6,-0.0371196,0.071491264,0.52965521
4.7,0.0001849597,0.069932093,0.52496001
4.8,-0.0070206882,0.066258806,0.50928182
4.9,0.01908483,0.060763341,0.45844954
5,0.10607029,0.067167461,0.43345603
5.1,0.059036978,0.076819084,0.46532466
5.2,-0.092299073,0.073529527,0.50866075
5.3,-0.10901705,0.055805028,0.4670427
5.4,0.084198021,0.060428837,0.44131621
5.5,0.062480458,0.073316195,0.4971352
5.6,-0.15002423,0.05912844,0.50857207
5.7,-0.043236741,0.054134646,0.50822174
5.8,-0.016965411,0.057812166,0.5644552
5.9,-0.1379201,0.03595219,0.48927798
6,0.17371332,0.05475287,0.51420545
6.1,-0.077135727,0.046985075,0.51839474
6.2,-0.029176624,0.0457632,0.54168098
6.3,-0.071254081,0.034801555,0.49975311
6.4,0.092073163,0.046729388,0.54349289
6.5,-0.1322195,0.035330502,0.56822934
6.6,-0.077060099,0.024073757,0.51352935
6.7,0.11276293,0.035157896,0.51294621
6.8,-0.017229958,0.035750763,0.55030924
6.9,-0.11153444,0.024049657,0.54428407
7,-0.0079948077,0.022546644,0.53061662
7.1,0.011336808,0.022025787,0.49388102
7.2,0.072734961,0.029091376,0.4921283
7.3,-0.009497472,0.025899671,0.45679187
7.4,0.079897186,0.035242065,0.48417319
7.5,-0.078547288,0.02718395,0.48409737
7.6,-0.013218623,0.026044476,0.48994982
7.7,-0.028200136,0.023102781,0.48997101
7.8,-0.014398768,0.021693379,0.49278666
7.9,-0.023300897,0.021097065,0.53428083
8,-0.11975428,0.0088885255,0.52926616
8.1,-0.0095352162,0.0087610878,0.57933133
8.2,-0.16048591,-0.0066115742,0.62336632
8.3,-0.14611525,-0.021431628,0.64088414
8.4,-0.081656103,-0.02979618,0.6438536
8.5,-0.04675636,-0.034594892,0.64305361
8.6,-0.037822712,-0.038684511,0.64489816
8.7,-0.038496564,-0.037517923,0.55752202
8.8,0.19653896,-0.020465603,0.59413528
8.9,-0.11781649,-0.031923258,0.58153713
9,0.00035506484,-0.033966109,0.61600138
9.1,-0.12641276,-0.048963389,0.65383296
9.2,-0.12556638,-0.058977202,0.61397962
9.3,0.06045913,-0.053107306,0.6105013
9.4,-0.030278311,-0.063587924,0.6898169
9.5,-0.23602202,-0.086648148,0.67527258
9.6,-0.011150398,-0.09246879,0.70269774
9.7,-0.092652089,-0.08324393,0.55386183
9.8,0.36210169,-0.054872999,0.60053275
9.9,-0.14312161,-0.068169449,0.58259981
10,0.011602034,-0.064648702,0.55596091
