Timestep,Alpha,Omega,Theta
0,0.36670391,0.036670391,0.0036670391
0.1,0.25004619,0.037468599,0.0049932578
0.2,0.18089651,0.04041257,0.0067540365
0.3,0.13410344,0.041269138,0.0081393843
0.4,0.10648949,0.043476491,0.0098852996
0.5,0.089729836,0.046551963,0.011981864
0.6,0.077697322,0.048689974,0.013918586
0.7,0.069350538,0.0500533,0.015657362
0.8,0.065661385,0.05283183,0.017963067
0.9,0.062352841,0.055189575,0.020235255
1,0.062973688,0.06056512,0.023910267
1.1,0.059412769,0.063105455,0.026621245
1.2,0.05882921,0.066891902,0.030021319
1.3,0.057333856,0.070256049,0.033424199
1.4,0.055021999,0.071902766,0.036063409
1.5,0.053841534,0.073185219,0.038524015
1.6,0.052678624,0.073754612,0.040591594
1.7,0.054982225,0.07840799,0.0451379
1.8,0.051070735,0.078149939,0.046908768
1.9,0.048424738,0.074386036,0.046179205
2,0.051569561,0.075001739,0.048058353
2.1,0.05167031,0.075901594,0.05026202
2.2,0.049350144,0.07363137,0.050218823
2.3,0.052736794,0.07588103,0.053217672
2.4,0.050821525,0.075881435,0.054783191
2.5,0.051983882,0.077841561,0.057752151
2.6,0.051133267,0.079298681,0.060486836
2.7,0.050044859,0.079683438,0.062384208
2.8,0.050818659,0.081450556,0.06537385
2.9,0.051408285,0.085179185,0.07018795
3,0.049272957,0.087683613,0.074253209
3.1,0.047079046,0.087585024,0.07603634
3.2,0.050373431,0.092809239,0.082526628
3.3,0.046926906,0.096243809,0.087997038
3.4,0.044216741,0.096868288,0.09084044
3.5,0.045855034,0.10033649,0.096324176
3.6,0.044704468,0.10503871,0.10349075
3.7,0.040924883,0.10643106,0.10761802
3.8,0.040675885,0.10713027,0.11081317
3.9,0.042768248,0.11201087,0.11852646
4,0.037369877,0.10925342,0.11835988
4.1,0.041843273,0.11070673,0.12212489
4.2,0.04070114,0.1107892,0.12472469
4.3,0.04145957,0.11256854,0.12921045
4.4,0.041581692,0.11895646,0.13955799
4.5,0.03429471,0.11972609,0.1439743
4.6,0.034337978,0.1197415,0.1468765
4.7,0.035623591,0.12016118,0.15013112
4.8,0.035698694,0.11960107,0.15214902
4.9,0.035688825,0.11599682,0.14993394
5,0.039944866,0.11478373,0.15026475
5.1,0.042613162,0.11887628,0.15798123
5.2,0.037177263,0.1232821,0.16728925
5.3,0.030382926,0.11976205,0.16576204
5.4,0.03530657,0.11837521,0.16588112
5.5,0.039908237,0.12491883,0.17759499
5.6,0.030236644,0.12593045,0.18301762
5.7,0.029218804,0.12641597,0.18693585
5.8,0.030946155,0.13228034,0.19899979
5.9,0.022553463,0.12578833,0.1930004
6,0.034851377,0.12968756,0.20084059
6.1,0.02917878,0.13035517,0.20560512
6.2,0.02841023,0.13308253,0.21340328
6.3,0.023921226,0.12957471,0.21136727
6.4,0.031657203,0.13495462,0.22275055
6.5,0.022967114,0.13718711,0.23113545
6.6,0.019036259,0.13256684,0.22717469
6.7,0.028084472,0.1337827,0.23150607
6.8,0.026949406,0.13794424,0.24245376
6.9,0.019167315,0.13738005,0.24610567
7,0.020283532,0.13671836,0.24844492
7.1,0.021583991,0.13390374,0.24648601
7.2,0.026905157,0.1347649,0.25064225
7.3,0.024174151,0.13166087,0.2481836
7.4,0.029771664,0.13563959,0.25819347
7.5,0.02100082,0.13556977,0.26262822
7.6,0.020196135,0.1365965,0.26836646
7.7,0.0181462,0.13689971,0.27296063
7.8,0.01764143,0.13758322,0.2781977
7.9,0.016879489,0.14220119,0.29190036
8,0.0077415821,0.14133033,0.29585803
8.1,0.010822309,0.1467553,0.31171518
8.2,0.00037603214,0.15027406,0.3263131
8.3,-0.0056818183,0.15142573,0.33574273
8.4,-0.0053289161,0.1517691,0.34249423
8.5,-0.0031137812,0.15202519,0.34862355
8.6,-0.00151512,0.15256738,0.35540987
8.7,-0.0014141009,0.14524379,0.34333598
8.8,0.017118738,0.15075016,0.35798819
8.9,0.0033331195,0.1491234,0.3612864
9,0.0044787768,0.1529322,0.3758063
9.1,-0.006292655,0.15592225,0.39132094
9.2,-0.013763772,0.15196472,0.38918501
9.3,-0.003296425,0.15267197,0.3952735
9.4,-0.004628832,0.16029933,0.42205918
9.5,-0.024822373,0.15760706,0.42636365
9.6,-0.018319887,0.16049289,0.44096835
9.7,-0.021543739,0.1476905,0.41315415
9.8,0.015520244,0.15572092,0.4337037
9.9,-0.0071537209,0.1529641,0.43620335
10,-0.005971259,0.1508706,0.43606453
10.1,-0.0029684133,0.14935063,0.43683656
10.2,-0.0019013341,0.14711672,0.4355808
10.3,0.00083557949,0.1533938,0.45960245
10.4,-0.02278304,0.15467757,0.4762049
10.5,-0.031309253,0.15494321,0.48794491
10.6,-0.031439572,0.14882589,0.47743693
10.7,-0.012087636,0.15175621,0.49010773
10.8,-0.021903979,0.15248728,0.50273104
10.9,-0.028156069,0.15051776,0.5063684
11,-0.024106617,0.14629976,0.49941607
11.1,-0.012448602,0.14285285,0.4917346
11.2,-0.0039921272,0.14064964,0.48785102
11.3,-0.0015241406,0.14407362,0.50489726
11.4,-0.019024115,0.14084515,0.50488987
